longitude,latitude,elevation_m
-98.57,27.28,87.5
-98.49,27.28,74.6
-98.41,27.28,57.5
-98.33,27.28,38.8
-98.25,27.28,21.7
-98.17,27.28,12.8
-98.09,27.28,5.5
-98.01,27.28,2.2
-97.93,27.28,2.7
-97.85,27.28,0.0
-97.77,27.28,0.0
-97.69,27.28,0.0
-97.61,27.28,0.0
-97.53,27.28,0.0
-97.45,27.28,0.0
-97.37,27.28,0.7
-97.29,27.28,3.6
-97.21,27.28,2.3
-97.13,27.28,1.0
-97.05,27.28,0.0
-96.97,27.28,0.0
-96.89,27.28,0.0
-96.81,27.28,0.0
-96.73,27.28,0.0
-96.65,27.28,2.4
-96.57,27.28,1.2
-96.49,27.28,0.0
-96.41,27.28,0.0
-96.33,27.28,0.0
-96.25,27.28,1.6
-96.17,27.28,4.0
-96.09,27.28,2.7
-96.01,27.28,0.0
-95.93,27.28,0.0
-99.29,27.36,134.5
-99.21,27.36,133.7
-99.13,27.36,133.3
-99.05,27.36,133.7
-98.97,27.36,130.1
-98.89,27.36,125.3
-98.81,27.36,121.0
-98.73,27.36,115.0
-98.65,27.36,106.1
-98.57,27.36,96.6
-98.49,27.36,81.2
-98.41,27.36,63.0
-98.33,27.36,44.5
-98.25,27.36,23.8
-98.17,27.36,11.1
-98.09,27.36,3.9
-98.01,27.36,0.0
-97.93,27.36,1.2
-97.85,27.36,0.0
-97.77,27.36,0.0
-97.69,27.36,0.6
-97.61,27.36,1.0
-97.53,27.36,0.0
-97.45,27.36,0.0
-97.37,27.36,0.0
-97.29,27.36,0.0
-97.21,27.36,0.0
-97.13,27.36,0.0
-97.05,27.36,0.0
-96.97,27.36,0.0
-96.89,27.36,0.0
-96.81,27.36,0.0
-96.73,27.36,0.0
-96.65,27.36,0.0
-96.57,27.36,0.6
-96.49,27.36,0.0
-96.41,27.36,0.0
-96.33,27.36,0.0
-96.25,27.36,0.7
-96.17,27.36,2.0
-96.09,27.36,1.5
-96.01,27.36,0.0
-95.93,27.36,0.0
-95.85,27.36,0.9
-99.37,27.44,151.2
-99.29,27.44,148.2
-99.21,27.44,147.2
-99.13,27.44,145.6
-99.05,27.44,144.5
-98.97,27.44,140.3
-98.89,27.44,134.4
-98.81,27.44,130.9
-98.73,27.44,124.4
-98.65,27.44,115.3
-98.57,27.44,103.6
-98.49,27.44,88.6
-98.41,27.44,71.7
-98.33,27.44,51.6
-98.25,27.44,29.6
-98.17,27.44,12.6
-98.09,27.44,4.1
-98.01,27.44,0.0
-97.93,27.44,0.0
-97.85,27.44,0.0
-97.77,27.44,0.0
-97.69,27.44,0.0
-97.61,27.44,0.0
-97.53,27.44,0.0
-97.45,27.44,0.0
-97.37,27.44,0.0
-97.29,27.44,0.0
-97.21,27.44,0.0
-97.13,27.44,0.0
-97.05,27.44,0.0
-96.97,27.44,0.0
-96.89,27.44,0.0
-96.81,27.44,2.0
-96.73,27.44,0.8
-96.65,27.44,0.0
-96.57,27.44,1.5
-96.49,27.44,2.3
-96.41,27.44,1.9
-96.33,27.44,1.0
-96.25,27.44,1.1
-96.17,27.44,0.0
-96.09,27.44,0.0
-96.01,27.44,0.0
-95.93,27.44,0.0
-95.85,27.44,0.2
-99.45,27.52,167.3
-99.37,27.52,164.0
-99.29,27.52,163.3
-99.21,27.52,162.7
-99.13,27.52,157.5
-99.05,27.52,155.2
-98.97,27.52,152.4
-98.89,27.52,150.0
-98.81,27.52,147.1
-98.73,27.52,138.8
-98.65,27.52,128.3
-98.57,27.52,112.5
-98.49,27.52,95.3
-98.41,27.52,77.0
-98.33,27.52,56.0
-98.25,27.52,35.5
-98.17,27.52,15.5
-98.09,27.52,6.4
-98.01,27.52,1.9
-97.93,27.52,0.0
-97.85,27.52,0.0
-97.77,27.52,0.0
-97.69,27.52,0.0
-97.61,27.52,0.0
-97.53,27.52,0.0
-97.45,27.52,0.5
-97.37,27.52,0.0
-97.29,27.52,0.0
-97.21,27.52,0.0
-97.13,27.52,0.0
-97.05,27.52,0.0
-96.97,27.52,0.0
-96.89,27.52,2.1
-96.81,27.52,5.2
-96.73,27.52,3.3
-96.65,27.52,3.7
-96.57,27.52,5.0
-96.49,27.52,2.6
-96.41,27.52,0.0
-96.33,27.52,0.9
-96.25,27.52,2.0
-96.17,27.52,0.0
-96.09,27.52,0.0
-96.01,27.52,0.0
-95.93,27.52,0.0
-95.85,27.52,0.0
-95.77,27.52,2.7
-99.45,27.6,182.9
-99.37,27.6,177.5
-99.29,27.6,176.0
-99.21,27.6,175.2
-99.13,27.6,172.6
-99.05,27.6,170.4
-98.97,27.6,166.7
-98.89,27.6,165.8
-98.81,27.6,162.9
-98.73,27.6,152.0
-98.65,27.6,139.6
-98.57,27.6,124.1
-98.49,27.6,108.1
-98.41,27.6,87.2
-98.33,27.6,61.5
-98.25,27.6,38.8
-98.17,27.6,18.5
-98.09,27.6,6.0
-98.01,27.6,1.2
-97.93,27.6,0.0
-97.85,27.6,0.0
-97.77,27.6,0.6
-97.69,27.6,0.0
-97.61,27.6,0.0
-97.53,27.6,0.0
-97.45,27.6,1.1
-97.37,27.6,1.5
-97.29,27.6,2.4
-97.21,27.6,3.6
-97.13,27.6,2.0
-97.05,27.6,0.7
-96.97,27.6,0.8
-96.89,27.6,1.5
-96.81,27.6,0.6
-96.73,27.6,0.0
-96.65,27.6,0.9
-96.57,27.6,2.3
-96.49,27.6,0.3
-96.41,27.6,0.0
-96.33,27.6,1.2
-96.25,27.6,3.3
-96.17,27.6,0.0
-96.09,27.6,0.0
-96.01,27.6,0.0
-95.93,27.6,0.0
-95.85,27.6,0.0
-95.77,27.6,0.0
-99.53,27.68,195.2
-99.45,27.68,196.6
-99.37,27.68,194.1
-99.29,27.68,191.4
-99.21,27.68,188.5
-99.13,27.68,188.1
-99.05,27.68,186.7
-98.97,27.68,182.7
-98.89,27.68,177.6
-98.81,27.68,173.0
-98.73,27.68,161.4
-98.65,27.68,150.5
-98.57,27.68,136.8
-98.49,27.68,120.4
-98.41,27.68,96.9
-98.33,27.68,68.3
-98.25,27.68,43.2
-98.17,27.68,21.9
-98.09,27.68,7.1
-98.01,27.68,1.2
-97.93,27.68,0.0
-97.85,27.68,0.5
-97.77,27.68,1.1
-97.69,27.68,0.0
-97.61,27.68,0.0
-97.53,27.68,0.0
-97.45,27.68,0.0
-97.37,27.68,1.9
-97.29,27.68,5.2
-97.21,27.68,5.1
-97.13,27.68,1.6
-97.05,27.68,0.3
-96.97,27.68,0.1
-96.89,27.68,0.0
-96.81,27.68,0.0
-96.73,27.68,0.0
-96.65,27.68,0.0
-96.57,27.68,0.0
-96.49,27.68,1.0
-96.41,27.68,0.0
-96.33,27.68,0.0
-96.25,27.68,0.4
-96.17,27.68,0.0
-96.09,27.68,0.8
-96.01,27.68,0.9
-95.93,27.68,0.0
-95.85,27.68,0.2
-95.77,27.68,0.0
-99.61,27.76,209.4
-99.53,27.76,211.1
-99.45,27.76,213.8
-99.37,27.76,213.5
-99.29,27.76,210.2
-99.21,27.76,206.8
-99.13,27.76,206.9
-99.05,27.76,206.7
-98.97,27.76,201.6
-98.89,27.76,191.6
-98.81,27.76,185.6
-98.73,27.76,178.1
-98.65,27.76,167.0
-98.57,27.76,150.0
-98.49,27.76,128.1
-98.41,27.76,101.4
-98.33,27.76,72.1
-98.25,27.76,47.6
-98.17,27.76,28.5
-98.09,27.76,14.3
-98.01,27.76,4.3
-97.93,27.76,0.8
-97.85,27.76,0.0
-97.77,27.76,0.0
-97.69,27.76,0.0
-97.61,27.76,0.0
-97.53,27.76,0.5
-97.45,27.76,0.1
-97.37,27.76,1.8
-97.29,27.76,4.7
-97.21,27.76,4.8
-97.13,27.76,0.2
-97.05,27.76,0.0
-96.97,27.76,0.6
-96.89,27.76,0.0
-96.81,27.76,0.0
-96.73,27.76,0.0
-96.65,27.76,0.0
-96.57,27.76,0.0
-96.49,27.76,0.7
-96.41,27.76,2.5
-96.33,27.76,2.8
-96.25,27.76,0.0
-96.17,27.76,0.0
-96.09,27.76,3.6
-96.01,27.76,3.9
-95.93,27.76,2.1
-95.85,27.76,1.9
-95.77,27.76,0.0
-95.69,27.76,3.0
-99.69,27.84,231.5
-99.61,27.84,228.9
-99.53,27.84,229.3
-99.45,27.84,231.4
-99.37,27.84,230.9
-99.29,27.84,229.8
-99.21,27.84,228.1
-99.13,27.84,226.6
-99.05,27.84,226.4
-98.97,27.84,217.9
-98.89,27.84,205.2
-98.81,27.84,197.9
-98.73,27.84,191.5
-98.65,27.84,178.1
-98.57,27.84,160.0
-98.49,27.84,136.5
-98.41,27.84,109.5
-98.33,27.84,81.1
-98.25,27.84,56.3
-98.17,27.84,36.7
-98.09,27.84,22.0
-98.01,27.84,10.1
-97.93,27.84,3.5
-97.85,27.84,1.3
-97.77,27.84,0.0
-97.69,27.84,0.0
-97.61,27.84,1.5
-97.53,27.84,2.2
-97.45,27.84,4.4
-97.37,27.84,8.3
-97.29,27.84,9.1
-97.21,27.84,6.3
-97.13,27.84,1.4
-97.05,27.84,0.8
-96.97,27.84,1.8
-96.89,27.84,0.0
-96.81,27.84,0.0
-96.73,27.84,1.0
-96.65,27.84,0.0
-96.57,27.84,0.0
-96.49,27.84,0.0
-96.41,27.84,0.0
-96.33,27.84,0.5
-96.25,27.84,0.0
-96.17,27.84,1.1
-96.09,27.84,5.3
-96.01,27.84,3.5
-95.93,27.84,2.9
-95.85,27.84,2.7
-95.77,27.84,0.0
-95.69,27.84,3.1
-99.77,27.92,255.5
-99.69,27.92,253.3
-99.61,27.92,248.2
-99.53,27.92,246.1
-99.45,27.92,247.3
-99.37,27.92,247.4
-99.29,27.92,247.6
-99.21,27.92,245.1
-99.13,27.92,239.7
-99.05,27.92,238.2
-98.97,27.92,231.3
-98.89,27.92,221.7
-98.81,27.92,212.5
-98.73,27.92,203.6
-98.65,27.92,187.4
-98.57,27.92,168.3
-98.49,27.92,146.8
-98.41,27.92,119.7
-98.33,27.92,90.6
-98.25,27.92,65.0
-98.17,27.92,40.9
-98.09,27.92,20.9
-98.01,27.92,9.8
-97.93,27.92,4.7
-97.85,27.92,2.0
-97.77,27.92,0.0
-97.69,27.92,0.0
-97.61,27.92,0.0
-97.53,27.92,1.4
-97.45,27.92,4.8
-97.37,27.92,12.2
-97.29,27.92,14.0
-97.21,27.92,12.9
-97.13,27.92,12.0
-97.05,27.92,11.7
-96.97,27.92,9.4
-96.89,27.92,4.3
-96.81,27.92,3.3
-96.73,27.92,2.6
-96.65,27.92,1.2
-96.57,27.92,1.8
-96.49,27.92,1.7
-96.41,27.92,0.0
-96.33,27.92,0.0
-96.25,27.92,0.0
-96.17,27.92,1.8
-96.09,27.92,4.4
-96.01,27.92,0.7
-95.93,27.92,1.3
-95.85,27.92,0.8
-95.77,27.92,0.0
-95.69,27.92,0.0
-99.77,28.0,268.9
-99.69,28.0,267.3
-99.61,28.0,265.8
-99.53,28.0,266.5
-99.45,28.0,266.0
-99.37,28.0,263.8
-99.29,28.0,263.1
-99.21,28.0,260.0
-99.13,28.0,253.1
-99.05,28.0,251.7
-98.97,28.0,250.3
-98.89,28.0,244.4
-98.81,28.0,234.0
-98.73,28.0,222.7
-98.65,28.0,205.1
-98.57,28.0,183.6
-98.49,28.0,161.2
-98.41,28.0,133.4
-98.33,28.0,102.6
-98.25,28.0,74.4
-98.17,28.0,44.9
-98.09,28.0,21.9
-98.01,28.0,10.5
-97.93,28.0,6.8
-97.85,28.0,2.4
-97.77,28.0,0.0
-97.69,28.0,0.0
-97.61,28.0,0.6
-97.53,28.0,7.4
-97.45,28.0,8.4
-97.37,28.0,14.2
-97.29,28.0,19.1
-97.21,28.0,21.0
-97.13,28.0,23.8
-97.05,28.0,23.8
-96.97,28.0,20.5
-96.89,28.0,12.6
-96.81,28.0,11.1
-96.73,28.0,9.8
-96.65,28.0,6.7
-96.57,28.0,6.1
-96.49,28.0,3.4
-96.41,28.0,0.0
-96.33,28.0,1.0
-96.25,28.0,0.0
-96.17,28.0,0.0
-96.09,28.0,1.8
-96.01,28.0,0.0
-95.93,28.0,0.0
-95.85,28.0,0.0
-95.77,28.0,0.0
-95.69,28.0,0.0
-95.61,28.0,0.0
-99.85,28.08,283.7
-99.77,28.08,285.2
-99.69,28.08,285.2
-99.61,28.08,287.8
-99.53,28.08,290.3
-99.45,28.08,288.4
-99.37,28.08,282.9
-99.29,28.08,280.2
-99.21,28.08,277.8
-99.13,28.08,269.9
-99.05,28.08,267.6
-98.97,28.08,268.1
-98.89,28.08,261.0
-98.81,28.08,251.5
-98.73,28.08,241.9
-98.65,28.08,224.5
-98.57,28.08,201.0
-98.49,28.08,174.6
-98.41,28.08,145.0
-98.33,28.08,114.3
-98.25,28.08,85.2
-98.17,28.08,53.0
-98.09,28.08,27.3
-98.01,28.08,13.1
-97.93,28.08,5.7
-97.85,28.08,0.7
-97.77,28.08,0.0
-97.69,28.08,0.0
-97.61,28.08,3.9
-97.53,28.08,13.0
-97.45,28.08,18.4
-97.37,28.08,26.3
-97.29,28.08,32.2
-97.21,28.08,33.2
-97.13,28.08,36.5
-97.05,28.08,36.8
-96.97,28.08,31.2
-96.89,28.08,24.2
-96.81,28.08,23.3
-96.73,28.08,21.5
-96.65,28.08,14.3
-96.57,28.08,10.7
-96.49,28.08,8.3
-96.41,28.08,4.2
-96.33,28.08,1.9
-96.25,28.08,0.1
-96.17,28.08,0.3
-96.09,28.08,2.3
-96.01,28.08,0.0
-95.93,28.08,0.0
-95.85,28.08,0.0
-95.77,28.08,0.0
-95.69,28.08,0.0
-95.61,28.08,0.0
-99.93,28.16,304.2
-99.85,28.16,308.0
-99.77,28.16,308.7
-99.69,28.16,306.5
-99.61,28.16,308.6
-99.53,28.16,310.2
-99.45,28.16,309.8
-99.37,28.16,304.7
-99.29,28.16,299.9
-99.21,28.16,300.4
-99.13,28.16,293.2
-99.05,28.16,288.4
-98.97,28.16,286.9
-98.89,28.16,278.1
-98.81,28.16,268.3
-98.73,28.16,258.9
-98.65,28.16,241.4
-98.57,28.16,216.0
-98.49,28.16,187.8
-98.41,28.16,158.2
-98.33,28.16,127.2
-98.25,28.16,92.5
-98.17,28.16,60.1
-98.09,28.16,32.8
-98.01,28.16,15.4
